"AÑO","CURSO","MATERIA","GENERO","EDAD","GRUPO ÉTNICO","ZONA RESIDENCIAL"
"2,023","ARTES PLASTICAS","DIBUJO LÁPIZ","MASCULINO","12","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","10","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ASESORÍA PROYECTO FINAL","FEMENINO","24","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ASESORÍA PROYECTO FINAL","FEMENINO","59","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","ASESORÍA PROYECTO FINAL","FEMENINO","56","AFROCOLOMBIANO","URBANO"
"2,023","ARTES PLASTICAS","ASESORÍA PROYECTO FINAL","FEMENINO","26","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","9","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","5","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","9","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","4","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","9","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","9","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","10","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","10","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","7","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","8","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","9","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","6","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","6","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","6","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","9","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","FEMENINO","9","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","7","NINGUNO","URBANO"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","RURAL"
"2,023","ARTES PLASTICAS","SEMILLERO ARTES PLÁSTICAS","MASCULINO","8","NINGUNO","RURAL"
